date,symbol,strategy,direction,entry_time,exit_time,entry_price,exit_price,quantity,pnl_inr,exit_reason
2026-04-17,ADANIPORTS,ORB,BUY,09:34,11:50,1577.0,1556.0,142,-2982.0,ORB_FAILED
2026-04-17,SUZLON,ORB,BUY,09:42,15:10,51.63999938964844,52.720001220703125,4357,4705.57,SQUARE_OFF
2026-04-17,HINDCOPPER,ORB,BUY,09:48,15:10,565.5,570.0,397,1786.5,SQUARE_OFF
2026-04-17,PNB,ORB,BUY,10:05,15:10,114.16000366210938,114.4800033569336,1970,630.4,SQUARE_OFF
2026-04-22,MARUTI,ORB,SELL,10:05,15:11,13390.0,13317.0,16,1168.0,SQUARE_OFF
2026-04-22,INFY,ORB,SELL,10:09,15:11,1272.300048828125,1269.199951171875,176,545.62,SQUARE_OFF
2026-04-22,HCLTECH,ORB,SELL,10:35,15:11,1300.9000244140625,1286.5,172,2476.8,SQUARE_OFF
2026-04-29,PERSISTENT,15m,BUY,09:55,10:53,4881.7001953125,4823.10009765625,30,-1758.0,ORB_FAILED
2026-04-29,COFORGE,15m,BUY,09:55,13:41,1224.0,1206.5999755859375,122,-2122.8,ORB_FAILED
2026-04-29,HCLTECH,15m,BUY,09:55,15:10,1208.0999755859375,1201.0,124,-880.4,SQUARE_OFF
2026-04-29,TECHM,15m,BUY,09:55,15:10,1447.300048828125,1462.199951171875,103,1534.69,SQUARE_OFF
2026-04-29,INDUSINDBK,15m,BUY,09:55,15:10,910.9500122070312,915.4000244140625,164,729.8,SQUARE_OFF
2026-04-29,NMDC,15m,BUY,10:54,15:10,92.08999633789062,91.94999694824219,1628,-227.92,SQUARE_OFF
